1.000	56
1.100	79
1.200	70
1.300	85
1.400	88
1.500	80
1.600	95
1.700	101
1.800	93
1.900	96
2.000	111
2.100	85
2.200	89
2.300	99
2.400	89
2.500	96
2.600	82
2.700	79
2.800	88
2.900	90
3.000	90
3.100	82
3.200	73
3.300	87
3.400	76
3.500	77
3.600	64
3.700	73
3.800	72
3.900	72
4.000	97
4.100	80
4.200	83
4.300	80
4.400	88
4.500	89
4.600	83
4.700	92
4.800	97
4.900	95
5.000	103
5.100	96
5.200	95
5.300	81
5.400	74
5.500	88
5.600	67
5.700	74
5.800	67
5.900	62
6.000	66
6.100	52
6.200	56
6.300	73
6.400	58
6.500	61
6.600	59
6.700	44
6.800	54
6.900	67
7.000	50
7.100	45
7.200	54
7.300	53
7.400	52
7.500	54
7.600	50
7.700	52
7.800	51
7.900	46
8.000	53
8.100	45
8.200	63
8.300	45
8.400	63
8.500	45
8.600	52
8.700	37
8.800	62
8.900	53
9.000	41
9.100	56
9.200	43
9.300	53
9.400	64
9.500	38
9.600	59
9.700	49
9.800	47
9.900	55
10.000	49
10.100	57
10.200	52
10.300	41
10.400	43
10.500	36
10.600	44
10.700	44
10.800	59
10.900	37
11.000	42
11.100	50
11.200	44
11.300	39
11.400	34
11.500	30
11.600	41
11.700	30
11.800	30
11.900	43
12.000	34
12.100	37
12.200	32
12.300	43
12.400	60
12.500	84
12.600	57
12.700	110
12.800	112
12.900	186
13.000	220
13.100	134
13.200	85
13.300	67
13.400	64
13.500	35
13.600	41
13.700	47
13.800	34
13.900	27
14.000	34
14.100	41
14.200	74
14.300	140
14.400	258
14.500	297
14.600	186
14.700	95
14.800	36
14.900	35
15.000	35
15.100	30
15.200	27
15.300	37
15.400	18
15.500	19
15.600	26
15.700	20
15.800	29
15.900	21
16.000	25
16.100	23
16.200	19
16.300	18
16.400	20
16.500	26
16.600	30
16.700	29
16.800	19
16.900	17
17.000	22
17.100	17
17.200	25
17.300	17
17.400	17
17.500	18
17.600	20
17.700	29
17.800	20
17.900	26
18.000	19
18.100	42
18.200	82
18.300	122
18.400	134
18.500	106
18.600	52
18.700	30
18.800	25
18.900	15
19.000	17
19.100	18
19.200	22
19.300	17
19.400	26
19.500	13
19.600	12
19.700	26
19.800	25
19.900	13
20.000	25
20.100	20
20.200	30
20.300	71
20.400	139
20.500	194
20.600	138
20.700	95
20.800	38
20.900	27
21.000	21
21.100	25
21.200	17
21.300	19
21.400	27
21.500	18
21.600	14
21.700	20
21.800	29
21.900	31
22.000	23
22.100	23
22.200	24
22.300	27
22.400	43
22.500	51
22.600	55
22.700	47
22.800	24
22.900	21
23.000	12
23.100	32
23.200	14
23.300	17
23.400	21
23.500	15
23.600	24
23.700	18
23.800	12
23.900	16
24.000	24
24.100	23
24.200	18
24.300	25
24.400	19
24.500	16
24.600	19
24.700	18
24.800	18
24.900	18
25.000	38
25.100	53
25.200	74
25.300	53
25.400	41
25.500	23
25.600	18
25.700	17
25.800	24
25.900	24
26.000	27
26.100	42
26.200	26
26.300	22
26.400	26
26.500	26
26.600	20
26.700	21
26.800	18
26.900	27
27.000	18
27.100	22
27.200	17
27.300	19
27.400	16
27.500	17
27.600	26
27.700	22
27.800	16
27.900	18
28.000	20
28.100	13
28.200	14
28.300	20
28.400	22
28.500	22
28.600	25
28.700	12
28.800	24
28.900	23
29.000	41
29.100	68
29.200	80
29.300	58
29.400	40
29.500	33
29.600	28
29.700	12
29.800	14
29.900	24
30.000	23
30.100	22
30.200	20
30.300	16
30.400	25
30.500	18
30.600	16
30.700	19
30.800	12
30.900	12
31.000	9
31.100	26
31.200	31
31.300	14
31.400	23
31.500	23
31.600	24
31.700	20
31.800	20
31.900	38
32.000	42
32.100	54
32.200	28
32.300	24
32.400	28
32.500	39
32.600	57
32.700	61
32.800	41
32.900	27
33.000	25
33.100	21
33.200	14
33.300	22
33.400	15
33.500	20
33.600	14
33.700	20
33.800	14
33.900	16
34.000	15
34.100	15
34.200	12
34.300	25
34.400	15
34.500	22
34.600	9
34.700	12
34.800	13
34.900	15
35.000	11
35.100	9
35.200	15
35.300	17
35.400	8
35.500	16
35.600	14
35.700	19
35.800	41
35.900	35
36.000	33
36.100	30
36.200	11
36.300	17
36.400	12
36.500	15
36.600	8
36.700	18
36.800	15
36.900	16
37.000	16
37.100	13
37.200	21
37.300	19
37.400	15
37.500	11
37.600	15
37.700	16
37.800	13
37.900	10
38.000	11
38.100	16
38.200	18
38.300	13
38.400	20
38.500	13
38.600	11
38.700	13
38.800	9
38.900	10
39.000	15
39.100	16
39.200	15
39.300	19
39.400	13
39.500	14
39.600	30
39.700	25
39.800	17
39.900	14
40.000	13

# mv 2, 0.0000
